id,t,layer,concept_separated,accuracy
0,1000,0,"(True, False, False)",0.4755244755244755
1,1000,0,"(False, True, False)",0.4943820224719101
2,1000,0,"(False, False, True)",0.4852941176470588
3,1000,0,"(True, True, False)",0.5347222222222222
4,1000,0,"(True, False, True)",0.5
5,1000,0,"(False, True, True)",0.5166666666666667
6,1000,3,"(True, False, False)",0.4965034965034965
7,1000,3,"(False, True, False)",0.5056179775280899
8,1000,3,"(False, False, True)",0.5147058823529411
9,1000,3,"(True, True, False)",0.5208333333333334
10,1000,3,"(True, False, True)",0.5
11,1000,3,"(False, True, True)",0.5333333333333333
12,1000,6,"(True, False, False)",0.4755244755244755
13,1000,6,"(False, True, False)",0.50187265917603
14,1000,6,"(False, False, True)",0.4852941176470588
15,1000,6,"(True, True, False)",0.5347222222222222
16,1000,6,"(True, False, True)",0.5178571428571429
17,1000,6,"(False, True, True)",0.5111111111111111
18,1000,9,"(True, False, False)",0.4755244755244755
19,1000,9,"(False, True, False)",0.50187265917603
20,1000,9,"(False, False, True)",0.5147058823529411
21,1000,9,"(True, True, False)",0.53125
22,1000,9,"(True, False, True)",0.5535714285714286
23,1000,9,"(False, True, True)",0.49444444444444446
24,1000,12,"(True, False, False)",0.46853146853146854
25,1000,12,"(False, True, False)",0.4943820224719101
26,1000,12,"(False, False, True)",0.5
27,1000,12,"(True, True, False)",0.5277777777777778
28,1000,12,"(True, False, True)",0.5535714285714286
29,1000,12,"(False, True, True)",0.5166666666666667
30,1000,15,"(True, False, False)",0.4825174825174825
31,1000,15,"(False, True, False)",0.4868913857677903
32,1000,15,"(False, False, True)",0.4852941176470588
33,1000,15,"(True, True, False)",0.5069444444444444
34,1000,15,"(True, False, True)",0.5535714285714286
35,1000,15,"(False, True, True)",0.5166666666666667
36,1000,18,"(True, False, False)",0.48951048951048953
37,1000,18,"(False, True, False)",0.5093632958801498
38,1000,18,"(False, False, True)",0.5
39,1000,18,"(True, True, False)",0.5381944444444444
40,1000,18,"(True, False, True)",0.5
