id,t,layer,digit_separated,accuracy
0,1000,0,0,0.5428571428571428
1,1000,0,1,0.40540540540540543
2,1000,0,2,0.5172413793103449
3,1000,0,3,0.5
4,1000,0,4,0.43137254901960786
5,1000,0,5,0.46153846153846156
6,1000,0,6,0.5
7,1000,0,7,0.423728813559322
8,1000,0,8,0.425
9,1000,0,9,0.4318181818181818
10,1000,3,0,0.4857142857142857
11,1000,3,1,0.40540540540540543
12,1000,3,2,0.5517241379310345
13,1000,3,3,0.5
14,1000,3,4,0.4117647058823529
15,1000,3,5,0.5
16,1000,3,6,0.47368421052631576
17,1000,3,7,0.4067796610169492
18,1000,3,8,0.35
19,1000,3,9,0.4090909090909091
20,1000,6,0,0.4857142857142857
21,1000,6,1,0.39864864864864863
22,1000,6,2,0.5172413793103449
23,1000,6,3,0.5
24,1000,6,4,0.39215686274509803
25,1000,6,5,0.5384615384615384
26,1000,6,6,0.5
27,1000,6,7,0.4576271186440678
28,1000,6,8,0.4
29,1000,6,9,0.38636363636363635
30,1000,9,0,0.4857142857142857
31,1000,9,1,0.3918918918918919
32,1000,9,2,0.5517241379310345
33,1000,9,3,0.5
34,1000,9,4,0.37254901960784315
35,1000,9,5,0.5384615384615384
36,1000,9,6,0.5
37,1000,9,7,0.4406779661016949
38,1000,9,8,0.4
39,1000,9,9,0.4090909090909091
40,1000,12,0,0.5428571428571428
41,1000,12,1,0.39864864864864863
42,1000,12,2,0.5517241379310345
43,1000,12,3,0.5
44,1000,12,4,0.39215686274509803
45,1000,12,5,0.46153846153846156
46,1000,12,6,0.47368421052631576
47,1000,12,7,0.4067796610169492
48,1000,12,8,0.425
49,1000,12,9,0.4318181818181818
50,1000,15,0,0.5142857142857142
51,1000,15,1,0.38513513513513514
52,1000,15,2,0.5517241379310345
53,1000,15,3,0.5
54,1000,15,4,0.4117647058823529
55,1000,15,5,0.5
56,1000,15,6,0.5
57,1000,15,7,0.4067796610169492
58,1000,15,8,0.45
59,1000,15,9,0.4090909090909091
60,1000,18,0,0.5142857142857142
61,1000,18,1,0.3918918918918919
62,1000,18,2,0.5172413793103449
63,1000,18,3,0.5
64,1000,18,4,0.4117647058823529
65,1000,18,5,0.46153846153846156
66,1000,18,6,0.5263157894736842
67,1000,18,7,0.3898305084745763
68,1000,18,8,0.425
69,1000,18,9,0.38636363636363635
70,1000,21,0,0.5428571428571428
71,1000,21,1,0.39864864864864863
72,1000,21,2,0.5172413793103449
73,1000,21,3,0.5
74,1000,21,4,0.39215686274509803
75,1000,21,5,0.46153846153846156
76,1000,21,6,0.5
77,1000,21,7,0.423728813559322
78,1000,21,8,0.425
79,1000,21,9,0.4090909090909091
80,990,0,0,0.45714285714285713
81,990,0,1,0.46621621621621623
82,990,0,2,0.4827586206896552
83,990,0,3,0.5454545454545454
84,990,0,4,0.43137254901960786
85,990,0,5,0.46153846153846156
86,990,0,6,0.5
87,990,0,7,0.4745762711864407
88,990,0,8,0.475
89,990,0,9,0.4090909090909091
90,990,3,0,0.4857142857142857
91,990,3,1,0.43243243243243246
92,990,3,2,0.4827586206896552
93,990,3,3,0.5454545454545454
94,990,3,4,0.39215686274509803
95,990,3,5,0.5384615384615384
96,990,3,6,0.5789473684210527
97,990,3,7,0.4915254237288136
98,990,3,8,0.5
99,990,3,9,0.4090909090909091
100,990,6,0,0.4857142857142857
101,990,6,1,0.41216216216216217
102,990,6,2,0.5172413793103449
103,990,6,3,0.5909090909090909
104,990,6,4,0.39215686274509803
105,990,6,5,0.46153846153846156
106,990,6,6,0.5263157894736842
107,990,6,7,0.5084745762711864
108,990,6,8,0.4
109,990,6,9,0.38636363636363635
110,990,9,0,0.5142857142857142
111,990,9,1,0.41216216216216217
112,990,9,2,0.4827586206896552
113,990,9,3,0.5454545454545454
114,990,9,4,0.39215686274509803
115,990,9,5,0.5384615384615384
116,990,9,6,0.5263157894736842
117,990,9,7,0.4915254237288136
118,990,9,8,0.45
119,990,9,9,0.4090909090909091
120,990,12,0,0.5142857142857142
121,990,12,1,0.4391891891891892
122,990,12,2,0.4827586206896552
123,990,12,3,0.5454545454545454
124,990,12,4,0.4117647058823529
125,990,12,5,0.5769230769230769
126,990,12,6,0.5526315789473685
127,990,12,7,0.4576271186440678
128,990,12,8,0.525
129,990,12,9,0.4318181818181818
130,990,15,0,0.5142857142857142
131,990,15,1,0.4527027027027027
132,990,15,2,0.4827586206896552
133,990,15,3,0.5
134,990,15,4,0.43137254901960786
135,990,15,5,0.5
136,990,15,6,0.5263157894736842
137,990,15,7,0.4406779661016949
138,990,15,8,0.525
139,990,15,9,0.45454545454545453
140,990,18,0,0.4857142857142857
141,990,18,1,0.4527027027027027
142,990,18,2,0.4827586206896552
143,990,18,3,0.5
144,990,18,4,0.43137254901960786
145,990,18,5,0.5
146,990,18,6,0.5
147,990,18,7,0.4406779661016949
148,990,18,8,0.525
149,990,18,9,0.4772727272727273
150,990,21,0,0.45714285714285713
151,990,21,1,0.4527027027027027
152,990,21,2,0.4827586206896552
153,990,21,3,0.5909090909090909
154,990,21,4,0.43137254901960786
155,990,21,5,0.5
156,990,21,6,0.5
157,990,21,7,0.4915254237288136
158,990,21,8,0.4
159,990,21,9,0.38636363636363635
160,980,0,0,0.42857142857142855
161,980,0,1,0.46621621621621623
162,980,0,2,0.41379310344827586
163,980,0,3,0.5454545454545454
164,980,0,4,0.49019607843137253
165,980,0,5,0.46153846153846156
166,980,0,6,0.5263157894736842
167,980,0,7,0.4406779661016949
168,980,0,8,0.475
169,980,0,9,0.4090909090909091
170,980,3,0,0.4857142857142857
171,980,3,1,0.44594594594594594
172,980,3,2,0.4827586206896552
173,980,3,3,0.5454545454545454
174,980,3,4,0.47058823529411764
175,980,3,5,0.46153846153846156
176,980,3,6,0.5263157894736842
177,980,3,7,0.423728813559322
178,980,3,8,0.45
179,980,3,9,0.4090909090909091
180,980,6,0,0.4
181,980,6,1,0.41216216216216217
182,980,6,2,0.4827586206896552
183,980,6,3,0.5909090909090909
184,980,6,4,0.43137254901960786
185,980,6,5,0.46153846153846156
186,980,6,6,0.5263157894736842
187,980,6,7,0.423728813559322
188,980,6,8,0.4
189,980,6,9,0.4090909090909091
190,980,9,0,0.42857142857142855
191,980,9,1,0.4527027027027027
192,980,9,2,0.4482758620689655
193,980,9,3,0.5454545454545454
194,980,9,4,0.45098039215686275
195,980,9,5,0.46153846153846156
196,980,9,6,0.5263157894736842
197,980,9,7,0.4745762711864407
198,980,9,8,0.45
199,980,9,9,0.38636363636363635
200,980,12,0,0.42857142857142855
201,980,12,1,0.49324324324324326
202,980,12,2,0.41379310344827586
203,980,12,3,0.5
204,980,12,4,0.47058823529411764
205,980,12,5,0.4230769230769231
206,980,12,6,0.5263157894736842
207,980,12,7,0.4406779661016949
208,980,12,8,0.425
209,980,12,9,0.4318181818181818
210,980,15,0,0.4857142857142857
211,980,15,1,0.4864864864864865
212,980,15,2,0.41379310344827586
213,980,15,3,0.5454545454545454
214,980,15,4,0.47058823529411764
215,980,15,5,0.46153846153846156
216,980,15,6,0.5789473684210527
217,980,15,7,0.4406779661016949
218,980,15,8,0.5
219,980,15,9,0.36363636363636365
220,980,18,0,0.45714285714285713
221,980,18,1,0.4797297297297297
222,980,18,2,0.4482758620689655
223,980,18,3,0.5909090909090909
224,980,18,4,0.47058823529411764
225,980,18,5,0.46153846153846156
226,980,18,6,0.5789473684210527
227,980,18,7,0.4576271186440678
228,980,18,8,0.475
229,980,18,9,0.3409090909090909
230,980,21,0,0.4
231,980,21,1,0.4527027027027027
232,980,21,2,0.5172413793103449
233,980,21,3,0.7272727272727273
234,980,21,4,0.49019607843137253
235,980,21,5,0.4230769230769231
236,980,21,6,0.5
237,980,21,7,0.4576271186440678
238,980,21,8,0.5
239,980,21,9,0.38636363636363635
240,970,0,0,0.4
241,970,0,1,0.46621621621621623
242,970,0,2,0.4827586206896552
243,970,0,3,0.6363636363636364
244,970,0,4,0.5294117647058824
245,970,0,5,0.46153846153846156
246,970,0,6,0.5
247,970,0,7,0.4067796610169492
248,970,0,8,0.425
249,970,0,9,0.38636363636363635
250,970,3,0,0.42857142857142855
251,970,3,1,0.47297297297297297
252,970,3,2,0.4482758620689655
253,970,3,3,0.6818181818181818
254,970,3,4,0.5294117647058824
255,970,3,5,0.4230769230769231
256,970,3,6,0.47368421052631576
257,970,3,7,0.4067796610169492
258,970,3,8,0.375
259,970,3,9,0.36363636363636365
260,970,6,0,0.4
261,970,6,1,0.44594594594594594
262,970,6,2,0.4482758620689655
263,970,6,3,0.6818181818181818
264,970,6,4,0.49019607843137253
265,970,6,5,0.38461538461538464
266,970,6,6,0.47368421052631576
267,970,6,7,0.4067796610169492
268,970,6,8,0.375
269,970,6,9,0.3409090909090909
